trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.1, 'e': 0.261845668580326}",20,10,-22.151493632340344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.1, 'e': 0.2592402606458915}",30,10,12.344719800038726,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.2566607769535559}",20,16,5.838791255889303,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.25410695955280027}",25,7,17.019223175946756,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.25157855305975646}",20,13,-1.3842077330076425,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.24907530463166816}",20,0,12.269022413718238,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.1, 'e': 0.24659696394160643}",20,0,6.0238957899135706,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.2441432831534371}",25,15,9.161321590658908,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.24171401689703645}",20,11,13.359759841665225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.23930892224375455}",25,5,-23.7566399600369,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.23692775868212176}",20,3,-18.704325072196543,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.1, 'e': 0.23457028809379765}",20,2,-3.717843645901637,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.23223627472975883}",20,16,6.197888242359255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.1, 'e': 0.22992548518672384}",20,0,-22.635719943611324,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.22763768838381274}",20,8,21.1374332379465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.22537265553943872}",20,0,0.6135683644860452,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
151,False,"{'a': 0.1, 'e': 0.22313016014842982}",20,12,-7.9077562407772675,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.2209099779593782}",25,1,24.95876751526467,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.21871188695221475}",25,20,9.308617078596367,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.21653566731600707}",30,2,-1.472961284172767,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.1, 'e': 0.21438110142697794}",25,7,-18.159115549832332,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
156,False,"{'a': 0.1, 'e': 0.21224797382674304}",20,8,-62.15778844973407,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
157,False,"{'a': 0.1, 'e': 0.21013607120076472}",30,0,-32.4991509318745,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
158,False,"{'a': 0.1, 'e': 0.20804518235702046}",20,0,-27.66903705610458,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.1, 'e': 0.20597509820488344}",20,2,-8.260374979197474,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.20392561173421342}",20,0,-35.4182631736564,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.1, 'e': 0.20189651799465538}",25,0,-19.460842532047355,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.1998876140751445}",20,0,7.765591506139958,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.19789869908361465}",20,11,-36.53806438976467,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.1, 'e': 0.19592957412690934}",25,0,-22.840112115226752,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
165,False,"{'a': 0.1, 'e': 0.19398004229089189}",20,10,6.333310195029881,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.19204990862075408}",25,6,-16.961870698826733,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.1901389801015205}",25,3,23.312358404028878,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.1882470656387468}",25,3,36.06076529173069,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.18637397603940997}",35,17,-12.037086355861103,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.18451952399298926}",25,0,8.1553182569658,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
171,False,"{'a': 0.1, 'e': 0.18268352405273466}",20,9,16.647535132153166,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.1808657926171221}",30,0,-98.71651766970574,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
173,False,"{'a': 0.1, 'e': 0.17906614791149322}",25,0,-43.97717426455053,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
174,False,"{'a': 0.1, 'e': 0.17728440996987782}",25,17,17.038408308735434,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.17552040061699686}",30,9,-81.48447820556632,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 2}",1
176,False,"{'a': 0.1, 'e': 0.17377394345044514}",20,0,-48.317981725003186,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
177,False,"{'a': 0.1, 'e': 0.17204486382305054}",25,17,3.437311080749211,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.17033298882540943}",20,8,22.822841225328638,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.1686381472685955}",25,13,-31.386858764071782,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'a': 0.1, 'e': 0.1669601696670407}",35,19,17.082349819866163,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.16529888822158653}",25,13,-0.37536157772771306,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.16365413680270405}",20,0,11.101039757086255,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
183,False,"{'a': 0.1, 'e': 0.16202575093388075}",20,11,6.034403702467189,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
